,url,datetime,header,rent_type,price,district,floor,address,owner,house_type,area,condition,bathroom,accommodations
1970,https://krisha.kz/a/show/660546435,2020-07-16 16:15:47,"2-комнатная квартира, 46 м², 2/4 этаж помесячно",квартира,85000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №10 А, Шаляпина 10 — проспект Алтынсарина, Алматы",Хозяин,"панельный, 1969 г.п.","46 м², жилая — 30 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1969,https://krisha.kz/a/show/660111333,2020-07-16 16:15:44,"2-комнатная квартира, 42.5 м², 6/10 этаж помесячно",квартира,130000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-4, Мкр Аксай-4 119, Алматы",Хозяин,"монолитный, 2019 г.п.","42.5 м², жилая — 30 м², кухня — 9 м²",евроремонт,совмещенный,полностью меблирована
1968,https://krisha.kz/a/show/660379976,2020-07-16 16:15:41,"2-комнатная квартира, 43 м², 4/5 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, Чайковского — Маметова, Алматы",Хозяин,"панельный, 1980 г.п.","43 м², жилая — 28 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1967,https://krisha.kz/a/show/660546325,2020-07-16 16:15:38,"2-комнатная квартира, 46 м², 1/3 этаж помесячно",квартира,100000,Медеуский р-н,,"Медеуский р-н, проспект Достык — Чайкиной, Алматы",Хозяин,"кирпичный, 1979 г.п.",46 м²,хорошее,совмещенный,полностью меблирована
1966,https://krisha.kz/a/show/58524638,2020-07-16 16:15:35,"3-комнатная квартира, 70 м², 3/4 этаж помесячно",квартира,150000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-2, Розыбакиева 66, Алматы",Хозяин,"монолитный, 1900 г.п.",70 м²,хорошее,2 с/у и более,полностью меблирована
1965,https://krisha.kz/a/show/660221867,2020-07-16 16:15:31,"1-комнатная квартира, 40 м², 3/5 этаж помесячно",квартира,95000,Алмалинский р-н,,"Алмалинский р-н, проспект Райымбека 375 — Емцова, Алматы",Хозяин,"панельный, 1989 г.п.","40 м², кухня — 10 м²",хорошее,совмещенный,полностью меблирована
1964,https://krisha.kz/a/show/660547342,2020-07-16 16:15:28,"3-комнатная квартира, 110 м², 5/9 этаж помесячно",квартира,180000,Алатауский р-н,,"Алатауский р-н, Райымбека 481в — Саина, Алматы",Авангард,"монолитный, 2013 г.п.","110 м², кухня — 12 м²",евроремонт,раздельный,частично меблирована
1963,https://krisha.kz/a/show/660547398,2020-07-16 16:15:25,"3-комнатная квартира, 83 м², 9/9 этаж помесячно",квартира,140000,Алатауский р-н,,"Алатауский р-н, Райымбека 29 — Яссауи, Алматы",Хозяин,"монолитный, 2012 г.п.",83 м²,евроремонт,2 с/у и более,полностью меблирована
1962,https://krisha.kz/a/show/57163631,2020-07-16 16:15:22,"1-комнатная квартира, 24 м², 3/4 этаж помесячно",квартира,87000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №10, Мкр №10, Алматы",Хозяин,"кирпичный, 1970 г.п.",24 м²,хорошее,совмещенный,полностью меблирована
1961,https://krisha.kz/a/show/660547508,2020-07-16 16:15:19,"2-комнатная квартира, 58 м², 1/5 этаж помесячно",квартира,120000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №10, Мкр №10, Алматы",Хозяин,"панельный, 1970 г.п.","58 м², жилая — 48 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1960,https://krisha.kz/a/show/660546973,2020-07-16 16:15:16,"2-комнатная квартира, 57 м², 4/4 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, Шевченко 147а — Байзакова, Алматы",риэлторская группа КВАДРАТ,"панельный, 1988 г.п.",57 м²,евроремонт,раздельный,полностью меблирована
1959,https://krisha.kz/a/show/54637851,2020-07-16 16:15:13,"1-комнатная квартира, 47 м², 22/24 этаж помесячно",квартира,150000,Бостандыкский р-н,,"Бостандыкский р-н, Каблукова 264, Алматы","Группа агентств недвижимости ""Expert Estate Service""","монолитный, 2011 г.п.","47 м², кухня — 10 м²",евроремонт,совмещенный,полностью меблирована
1958,https://krisha.kz/a/show/57459653,2020-07-16 16:15:10,"1-комнатная квартира, 45 м², 4/5 этаж помесячно",квартира,110000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Казахфильм, Исиналиева 16, Алматы","Группа агентств недвижимости ""Expert Estate Service""","панельный, 1991 г.п.","45 м², кухня — 10 м²",хорошее,совмещенный,полностью меблирована
1957,https://krisha.kz/a/show/660378652,2020-07-16 16:15:07,"2-комнатная квартира, 60 м², 15/20 этаж помесячно",квартира,160000,Алмалинский р-н,,"Алмалинский р-н, Брусиловского 144 — Шакарима, Алматы",Exclusive,"монолитный, 2011 г.п.",60 м²,евроремонт,совмещенный,полностью меблирована
1956,https://krisha.kz/a/show/660379751,2020-07-16 16:15:04,"2-комнатная квартира, 52 м², 5/6 этаж помесячно",квартира,150000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №10, Мкр №10, Алматы",Хозяин,"кирпичный, 1992 г.п.","52 м², жилая — 43 м², кухня — 12 м²",евроремонт,раздельный,полностью меблирована
1955,https://krisha.kz/a/show/57687819,2020-07-16 16:15:01,"1-комнатная квартира, 42 м², 2/5 этаж помесячно",квартира,100000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-3, Аксай 3 28 — Б.Момышулы, Алматы",Хозяин,"иное, 1998 г.п.","42 м², жилая — 18 м², кухня — 12 м²",евроремонт,совмещенный,полностью меблирована
1954,https://krisha.kz/a/show/660547028,2020-07-16 16:14:58,"2-комнатная квартира, 55 м², 4/5 этаж помесячно",квартира,140000,Медеуский р-н,,"Медеуский р-н, мкр Самал-1, Мкр Самал-1 30 — Жолдасбекова, Алматы",Булат и К,"кирпичный, 1990 г.п.","55 м², кухня — 10 м²",хорошее,раздельный,полностью меблирована
1953,https://krisha.kz/a/show/660546952,2020-07-16 16:14:55,"2-комнатная квартира, 60 м², 5/9 этаж помесячно",квартира,130000,Медеуский р-н,,"Медеуский р-н, проспект Достык — Омарова, Алматы",Хозяин,"монолитный, 1988 г.п.","60 м², кухня — 10 м²",хорошее,раздельный,полностью меблирована
1952,https://krisha.kz/a/show/58127646,2020-07-16 16:14:52,"3-комнатная квартира, 70 м², 1/5 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-2, Алматы",Хозяин,"панельный, 1980 г.п.","70 м², жилая — 60 м², кухня — 13 м²",хорошее,раздельный,пустая
1951,https://krisha.kz/a/show/660546870,2020-07-16 16:14:48,"2-комнатная квартира, 120 м² помесячно",квартира,230000,Алмалинский р-н,,"Алмалинский р-н, Муканова — Шевченко, Алматы",Булат и К,"кирпичный, 2012 г.п.","120 м², кухня — 16 м²",хорошее,2 с/у и более,полностью меблирована
1950,https://krisha.kz/a/show/660546761,2020-07-16 16:14:45,"2-комнатная квартира, 60 м², 1/6 этаж помесячно",квартира,140000,Медеуский р-н,,"Медеуский р-н, мкр Самал-1, Мкр Самал-1 38 — проспект Назарбаева, Алматы",Булат и К,"кирпичный, 1999 г.п.","60 м², кухня — 10 м²",хорошее,2 с/у и более,полностью меблирована
1949,https://krisha.kz/a/show/58400653,2020-07-16 16:14:42,"1-комнатная квартира, 43 м², 3/4 этаж помесячно",квартира,100000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-3Б, Толе би 1 — Яссауи, Алматы",Хозяин,"панельный, 1994 г.п.","43 м², жилая — 55 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1948,https://krisha.kz/a/show/660546211,2020-07-16 16:14:39,"1-комнатная квартира, 40 м², 2/5 этаж помесячно",квартира,125000,Медеуский р-н,,"Медеуский р-н, мкр Самал-1, Мкр Самал-1 9 — Жолдасбекова, Алматы",Булат и К,"кирпичный, 1999 г.п.","40 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1947,https://krisha.kz/a/show/660546305,2020-07-16 16:14:36,"1-комнатная квартира, 45 м², 3/9 этаж помесячно",квартира,95000,Алмалинский р-н,,"Алмалинский р-н, Айтеке Би 121 — Байтурсынова, Алматы",Булат и К,"кирпичный, 2000 г.п.","45 м², кухня — 15 м²",хорошее,совмещенный,полностью меблирована
1946,https://krisha.kz/a/show/660548203,2020-07-16 16:14:33,"2-комнатная квартира, 54 м², 3/10 этаж помесячно",квартира,140000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №2, Алтынсарина 40Г, Алматы",Хозяин,"кирпичный, 2017 г.п.","54 м², жилая — 49 м², кухня — 6 м²",евроремонт,совмещенный,полностью меблирована
1945,https://krisha.kz/a/show/660460334,2020-07-16 16:14:30,"1-комнатная квартира, 32 м², 4/5 этаж помесячно",квартира,85000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-3 — Торайгырова, Алматы",Байсал,"панельный, 1990 г.п.","32 м², жилая — 18 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1944,https://krisha.kz/a/show/660548050,2020-07-16 16:14:27,"1-комнатная квартира, 34 м², 5/5 этаж помесячно",квартира,90000,Бостандыкский р-н,,"Бостандыкский р-н, Тимирязева — Маркова, Алматы",Хозяин,"кирпичный, 1994 г.п.","34 м², жилая — 18 м², кухня — 9 м²",хорошее,совмещенный,полностью меблирована
1943,https://krisha.kz/a/show/51278193,2020-07-16 16:14:24,"2-комнатная квартира, 42 м², 3/3 этаж помесячно",квартира,120000,Бостандыкский р-н,,"Бостандыкский р-н, Ауэзова 136 — Тимирязева, Алматы",РЕГИОН 02,"кирпичный, 1967 г.п.","42 м², жилая — 27 м², кухня — 6 м²",хорошее,совмещенный,частично меблирована
1942,https://krisha.kz/a/show/660548067,2020-07-16 16:14:21,"3-комнатная квартира, 65 м², 8/9 этаж помесячно",квартира,120000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Жетысу-2, Саина 23 — Улугбека, Алматы",Хозяин,"панельный, 1990 г.п.","65 м², жилая — 42 м², кухня — 10 м²",среднее,раздельный,полностью меблирована
1941,https://krisha.kz/a/show/660548002,2020-07-16 16:14:17,"2-комнатная квартира, 58 м², 9/9 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Раимбека 245 — Байзакова, Алматы",Хозяин,"монолитный, 2006 г.п.","58 м², жилая — 29.8 м², кухня — 13.7 м²",евроремонт,раздельный,полностью меблирована
1940,https://krisha.kz/a/show/55877801,2020-07-16 16:14:14,"2-комнатная квартира, 57 м², 2/4 этаж помесячно",квартира,150000,Алмалинский р-н,,"Алмалинский р-н, Байтурсынова 7 — Гоголя, Алматы",Хозяин,"кирпичный, 1960 г.п.","57 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
1939,https://krisha.kz/a/show/51227937,2020-07-16 16:14:11,"1-комнатная квартира, 24 м², 1/2 этаж помесячно",квартира,60000,Медеуский р-н,,"Медеуский р-н, Райымбека 53 — Жетысуская, Алматы",Хозяин,"кирпичный, 2016 г.п.","24 м², жилая — 14 м², кухня — 8 м²",хорошее,совмещенный,полностью меблирована
1938,https://krisha.kz/a/show/660380265,2020-07-16 16:14:08,"3-комнатная квартира, 56.5 м², 1/4 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Наурызбай Батыра — Макатаева, Алматы",Хозяин,"панельный, 1972 г.п.","56.5 м², жилая — 38 м², кухня — 6 м²",хорошее,совмещенный,частично меблирована
1937,https://krisha.kz/a/show/58369214,2020-07-16 16:14:05,"4-комнатная квартира, 200 м², 3/7 этаж помесячно",квартира,500000,Медеуский р-н,,"Медеуский р-н, Достык 132, Алматы",Baitemir Company,"монолитный, 2004 г.п.",200 м²,евроремонт,2 с/у и более,полностью меблирована
1936,https://krisha.kz/a/show/660547932,2020-07-16 16:14:02,"3-комнатная квартира, 65 м², 2/5 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-2, Тлендиева — Дуйсенова, Алматы",Хозяин,"панельный, 1986 г.п.","65 м², жилая — 42 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
1935,https://krisha.kz/a/show/55692487,2020-07-16 16:13:59,"3-комнатная квартира, 70 м², 3/9 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, Толе би — Розыбакиева, Алматы",Байсал,"панельный, 1990 г.п.","70 м², жилая — 58 м², кухня — 11 м²",среднее,раздельный,полностью меблирована
1934,https://krisha.kz/a/show/660380246,2020-07-16 16:13:56,"2-комнатная квартира, 43 м², 3/4 этаж помесячно",квартира,110000,Бостандыкский р-н,,"Бостандыкский р-н, Сатпаева 5а — Наурызбайбатыра, Алматы",Хозяин,"кирпичный, 1970 г.п.","43 м², жилая — 30 м², кухня — 6 м²",хорошее,раздельный,полностью меблирована
1933,https://krisha.kz/a/show/660380534,2020-07-16 16:13:53,"3-комнатная квартира, 90 м², 4/9 этаж помесячно",квартира,130000,Алатауский р-н,,"Алатауский р-н, мкр Акбулак — Рыскулова, Алматы",Хозяин,"монолитный, 2011 г.п.",90 м²,хорошее,раздельный,частично меблирована
1932,https://krisha.kz/a/show/660067567,2020-07-16 16:13:50,"2-комнатная квартира, 70.5 м², 7/14 этаж помесячно",квартира,280000,Бостандыкский р-н,,"Бостандыкский р-н, Масанчи 98В, Алматы",Хозяин,"монолитный, 2006 г.п.",70.5 м²,евроремонт,2 с/у и более,полностью меблирована
1931,https://krisha.kz/a/show/58150878,2020-07-16 16:13:47,"3-комнатная квартира, 75 м², 13/16 этаж помесячно",квартира,235000,Бостандыкский р-н,,"Бостандыкский р-н, Гагарина, Алматы",Baitemir Company,"монолитный, 2015 г.п.",75 м²,евроремонт,раздельный,полностью меблирована
1930,https://krisha.kz/a/show/660380206,2020-07-16 16:13:44,"1-комнатная квартира, 34 м², 5/5 этаж помесячно",квартира,80000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-3, Мкр Аксай-3 22 — Маргулана, Алматы",Хозяин,"панельный, 1982 г.п.","34 м², жилая — 18 м², кухня — 6 м²",среднее,совмещенный,полностью меблирована
1929,https://krisha.kz/a/show/660548012,2020-07-16 16:13:41,"1-комнатная квартира, 45 м², 4/5 этаж помесячно",квартира,120000,Медеуский р-н,,"Медеуский р-н, Назарбаева 220 — Сатпаева, Алматы",ИК Челси,"кирпичный, 1985 г.п.","45 м², жилая — 20 м², кухня — 10 м²",хорошее,совмещенный,полностью меблирована
1928,https://krisha.kz/a/show/660216155,2020-07-16 16:13:38,"2-комнатная квартира, 52 м², 3/13 этаж помесячно",квартира,180000,Бостандыкский р-н,,"Бостандыкский р-н, Навои — Торайгырова, Алматы",риэлторская группа КВАДРАТ,"монолитный, 2016 г.п.","52 м², кухня — 9 м²",евроремонт,раздельный,полностью меблирована
1927,https://krisha.kz/a/show/660072845,2020-07-16 16:13:35,"3-комнатная квартира, 66 м², 3/4 этаж помесячно",квартира,160000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Таугуль-1 24, Алматы",Хозяин,"кирпичный, 1969 г.п.","66 м², жилая — 48 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1926,https://krisha.kz/a/show/660553865,2020-07-16 16:13:32,"3-комнатная квартира, 68 м², 3/9 этаж помесячно",квартира,2500000,Медеуский р-н,,"Медеуский р-н, мкр Самал-2, Мкр Самал-2, Алматы",МСК-Риелти,"монолитный, 1990 г.п.","68 м², кухня — 8 м²",хорошее,раздельный,полностью меблирована
1925,https://krisha.kz/a/show/660381245,2020-07-16 16:13:28,"1-комнатная квартира, 35 м², 1/4 этаж помесячно",квартира,90000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-2, Мкр Аксай-2 30 — Толе би момышулы, Алматы",Хозяин,"монолитный, 1983 г.п.",35 м²,хорошее,совмещенный,полностью меблирована
1924,https://krisha.kz/a/show/660548907,2020-07-16 16:13:25,"1-комнатная квартира, 35 м², 4/5 этаж помесячно",квартира,110000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Коктем-2 2, Алматы",Хозяин,"кирпичный, 1976 г.п.",35 м²,хорошее,совмещенный,полностью меблирована
1923,https://krisha.kz/a/show/47099097,2020-07-16 16:13:22,"3-комнатная квартира, 60 м², 3/4 этаж помесячно",квартира,150000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №3 33, Алматы",Хозяин,"панельный, 1964 г.п.","60 м², кухня — 6 м²",евроремонт,совмещенный,полностью меблирована
1922,https://krisha.kz/a/show/660549052,2020-07-16 16:13:19,"1-комнатная квартира, 31 м², 5/5 этаж помесячно",квартира,75000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-2, Алматы",МеDina LuX,"панельный, 1975 г.п.","31 м², жилая — 18 м², кухня — 6 м²",среднее,совмещенный,частично меблирована
1921,https://krisha.kz/a/show/660548697,2020-07-16 16:13:16,"3-комнатная квартира, 72 м², 3/9 этаж помесячно",квартира,200000,Бостандыкский р-н,,"Бостандыкский р-н, Розыбакиева — Сатпаева, Алматы",Хозяин,"панельный, 1984 г.п.","72 м², жилая — 56 м², кухня — 12 м²",хорошее,раздельный,полностью меблирована
1920,https://krisha.kz/a/show/660548887,2020-07-16 16:13:13,"1-комнатная квартира, 42 м², 1/5 этаж помесячно",квартира,95000,Ауэзовский р-н,,"Ауэзовский р-н, Толе Би 21 — Мате Залки, Алматы",Кок Тал Сити,"панельный, 1990 г.п.","42 м², жилая — 18 м², кухня — 10 м²",хорошее,раздельный,полностью меблирована
1919,https://krisha.kz/a/show/52710414,2020-07-16 16:13:10,"2-комнатная квартира, 43 м², 4/5 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, Желтосан 64, Алматы",Хозяин,"панельный, 1971 г.п.","43 м², жилая — 30 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1918,https://krisha.kz/a/show/58434393,2020-07-16 16:13:07,"1-комнатная квартира, 37 м², 5/5 этаж помесячно",квартира,100000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Тастак-1, Алматы",Хозяин,"монолитный, 1996 г.п.","37 м², жилая — 18 м², кухня — 12 м²",хорошее,раздельный,полностью меблирована
1917,https://krisha.kz/a/show/660548287,2020-07-16 16:13:03,"2-комнатная квартира, 41 м², 2/3 этаж помесячно",квартира,15600000,Турксибский р-н,,"Турксибский р-н, Шолохова 4 — Ахан Серы, Алматы",риэлторская группа КВАДРАТ,"кирпичный, 1966 г.п.","41 м², жилая — 25.5 м², кухня — 8.3 м²",хорошее,совмещенный,полностью меблирована
1916,https://krisha.kz/a/show/660380919,2020-07-16 16:13:00,"2-комнатная квартира, 56 м², 4/4 этаж помесячно",квартира,100000,Бостандыкский р-н,,"Бостандыкский р-н, проспект Гагарина — Басенова, Алматы",Хозяин,"кирпичный, 1968 г.п.",56 м²,хорошее,совмещенный,полностью меблирована
1915,https://krisha.kz/a/show/57176680,2020-07-16 16:12:57,"2-комнатная квартира, 42 м², 2/5 этаж помесячно",квартира,120000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-3, Нажимеденова, Алматы",Хозяин,"панельный, 1978 г.п.",42 м²,среднее,совмещенный,полностью меблирована
1914,https://krisha.kz/a/show/55822830,2020-07-16 16:12:54,"3-комнатная квартира, 140 м², 10/14 этаж помесячно",квартира,320000,Медеуский р-н,,"Медеуский р-н, Гоголя 2 — Барибаева, Алматы",Хозяин,"монолитный, 2005 г.п.",140 м²,евроремонт,2 с/у и более,полностью меблирована
1913,https://krisha.kz/a/show/660548360,2020-07-16 16:12:51,"1-комнатная квартира, 33 м², 3/4 этаж помесячно",квартира,80000,Медеуский р-н,,"Медеуский р-н, Валиханова — Макатаева, Алматы",Хозяин,"панельный, 1980 г.п.","33 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1912,https://krisha.kz/a/show/57255673,2020-07-16 16:12:48,"1-комнатная квартира, 45 м², 5/9 этаж помесячно",квартира,115000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Жетысу-2, Алматы",Хозяин,"панельный, 1990 г.п.","45 м², кухня — 9 м²",хорошее,совмещенный,полностью меблирована
1911,https://krisha.kz/a/show/660548264,2020-07-16 16:12:45,"3-комнатная квартира, 97 м², 7/14 этаж помесячно",квартира,200000,Бостандыкский р-н,,"Бостандыкский р-н, Масанчи 98В, Алматы",Хозяин,"монолитный, 2006 г.п.",97 м²,хорошее,2 с/у и более,полностью меблирована
1910,https://krisha.kz/a/show/660402091,2020-07-16 16:12:42,"3-комнатная квартира, 75 м², 3/4 этаж помесячно",квартира,180000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №1, Мкр №1, Алматы",Хозяин,"панельный, 1971 г.п.","75 м², жилая — 50 м², кухня — 9 м²",евроремонт,совмещенный,полностью меблирована
1909,https://krisha.kz/a/show/660548312,2020-07-16 16:12:39,"1-комнатная квартира, 40 м², 6/9 этаж помесячно",квартира,75000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-3, Ислама Каримова 87 — Толе Би, Алматы",Хозяин,"панельный, 1989 г.п.","40 м², жилая — 18 м², кухня — 9 м²",хорошее,совмещенный,полностью меблирована
1908,https://krisha.kz/a/show/53786186,2020-07-16 16:12:36,"2-комнатная квартира, 45 м², 3/4 этаж помесячно",квартира,135000,Турксибский р-н,,"Турксибский р-н, Сакена Сейфуллина 100 — Айбасова, Алматы",Хозяин,"кирпичный, 1971 г.п.","45 м², жилая — 32 м², кухня — 6 м²",хорошее,раздельный,полностью меблирована
1907,https://krisha.kz/a/show/22946768,2020-07-16 16:12:33,"1-комнатная квартира, 40 м², 5/9 этаж помесячно",квартира,110000,Алмалинский р-н,,"Алмалинский р-н, Гагарина 100 — Абая, Алматы",Хозяин,"кирпичный, 1990 г.п.","40 м², кухня — 8 м²",хорошее,совмещенный,полностью меблирована
1906,https://krisha.kz/a/show/660549417,2020-07-16 16:12:30,"1-комнатная квартира, 36 м², 4/5 этаж помесячно",квартира,70000,Алмалинский р-н,,"Алмалинский р-н, Гайдара 62 — Толеби, Алматы",Хозяин,"кирпичный, 1990 г.п.","36 м², кухня — 9 м²",хорошее,совмещенный,полностью меблирована
1905,https://krisha.kz/a/show/660548747,2020-07-16 16:12:27,"1-комнатная квартира, 37.8 м², 8/9 этаж помесячно",квартира,85000,Алмалинский р-н,,"Алмалинский р-н, Байзакова 234 — Шевченко, Алматы",Хозяин,"монолитный, 1981 г.п.",37.8 м²,хорошее,совмещенный,частично меблирована
1904,https://krisha.kz/a/show/660547772,2020-07-16 16:12:24,"2-комнатная квартира, 58 м², 9/12 этаж помесячно",квартира,110000,Алатауский р-н,,"Алатауский р-н, Момышулы, Алматы",риэлторская группа КВАДРАТ,"монолитный, 2020 г.п.",58 м²,евроремонт,раздельный,полностью меблирована
1903,https://krisha.kz/a/show/660382075,2020-07-16 16:12:21,"2-комнатная квартира, 72 м², 4/18 этаж помесячно",квартира,220000,Бостандыкский р-н,,"Бостандыкский р-н, Гагарина 133/1 — Мыңбаева, Алматы",Хозяин,"монолитный, 2016 г.п.","72 м², кухня — 11 м²",евроремонт,совмещенный,полностью меблирована
1902,https://krisha.kz/a/show/660224055,2020-07-16 16:12:18,"2-комнатная квартира, 45.5 м², 5/5 этаж помесячно",квартира,135000,Бостандыкский р-н,,"Бостандыкский р-н, Брусиловский 247а, Алматы",Хозяин,"панельный, 1978 г.п.","45.5 м², кухня — 6 м²",евроремонт,совмещенный,полностью меблирована
1901,https://krisha.kz/a/show/51197567,2020-07-16 16:12:14,"2-комнатная квартира, 39 м², 3/4 этаж помесячно",квартира,150000,,,"Валиханова — проспект Абая, Алматы",Хозяин,"кирпичный, 1979 г.п.","39 м², жилая — 26 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
1900,https://krisha.kz/a/show/660549543,2020-07-16 16:12:11,"3-комнатная квартира, 100 м², 1/5 этаж помесячно",квартира,270000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Коктем-1, Мкр Коктем-1, Алматы",Алма Консалтинг,"кирпичный, 1984 г.п.",100 м²,евроремонт,раздельный,полностью меблирована
1899,https://krisha.kz/a/show/660127957,2020-07-16 16:12:08,"2-комнатная квартира, 65 м², 9/33 этаж помесячно",квартира,350000,Медеуский р-н,,"Медеуский р-н, Аль-Фараби 9 — Козыбаева, Алматы",Prospekt City,"монолитный, 2019 г.п.",65 м²,евроремонт,совмещенный,полностью меблирована
1898,https://krisha.kz/a/show/55365358,2020-07-16 16:12:05,"2-комнатная квартира, 80 м², 8/16 этаж помесячно",квартира,400000,Бостандыкский р-н,,"Бостандыкский р-н, Аль-Фараби 21/1 — Каратаева, Алматы",Prospekt City,"монолитный, 2016 г.п.",80 м²,евроремонт,совмещенный,полностью меблирована
1897,https://krisha.kz/a/show/660223961,2020-07-16 16:12:02,"2-комнатная квартира, 44 м², 1/5 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Макатаева 88 — Панфилова, Алматы",Хозяин,"панельный, 1980 г.п.",44 м²,среднее,совмещенный,частично меблирована
1896,https://krisha.kz/a/show/53876391,2020-07-16 16:11:59,"2-комнатная квартира, 100 м², 7/12 этаж помесячно",квартира,400000,Медеуский р-н,,"Медеуский р-н, Назарбаева 223 — Махатмы Ганди, Алматы",Prospekt City,"монолитный, 2012 г.п.",100 м²,евроремонт,совмещенный,полностью меблирована
1895,https://krisha.kz/a/show/58320675,2020-07-16 16:11:56,"2-комнатная квартира, 65 м², 24/33 этаж помесячно",квартира,400000,Медеуский р-н,,"Медеуский р-н, Аль-Фараби 5к3А — Козыбаева, Алматы",Prospekt City,"монолитный, 2019 г.п.",65 м²,евроремонт,совмещенный,полностью меблирована
1894,https://krisha.kz/a/show/49332956,2020-07-16 16:11:53,"2-комнатная квартира, 63 м², 5/5 этаж помесячно",квартира,120000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-2, Алматы",Хозяин,"панельный, 1990 г.п.","63 м², жилая — 36 м², кухня — 12 м²",хорошее,раздельный,полностью меблирована
1893,https://krisha.kz/a/show/660407393,2020-07-16 16:11:49,"3-комнатная квартира, 57.2 м², 4/4 этаж помесячно",квартира,130000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №3, Улугбека 63А — Саина, Алматы",Хозяин,"панельный, 1975 г.п.","57.2 м², жилая — 43.2 м², кухня — 6 м²",хорошее,раздельный,частично меблирована
1892,https://krisha.kz/a/show/28688222,2020-07-16 16:11:46,"2-комнатная квартира, 45 м², 1/4 этаж помесячно",квартира,130000,Бостандыкский р-н,,"Бостандыкский р-н, Радостовца 197а — Тимирязева, Алматы",Хозяин,"панельный, 1970 г.п.",45 м²,хорошее,совмещенный,полностью меблирована
1891,https://krisha.kz/a/show/660549456,2020-07-16 16:11:43,"2-комнатная квартира, 55 м², 2/5 этаж помесячно",квартира,165000,Медеуский р-н,,"Медеуский р-н, мкр Самал, Назарбаева — Абая, Алматы",Байсал,"кирпичный, 1990 г.п.","55 м², жилая — 48 м², кухня — 10 м²",евроремонт,раздельный,полностью меблирована
1890,https://krisha.kz/a/show/2746650,2020-07-16 16:11:40,"2-комнатная квартира, 50 м², 1/5 этаж помесячно",квартира,150000,Алмалинский р-н,,"Алмалинский р-н, Карасай батыра 134а — Байзакова, Алматы",Хозяин,"кирпичный, 1986 г.п.","50 м², жилая — 28 м², кухня — 8 м²",евроремонт,раздельный,полностью меблирована
1889,https://krisha.kz/a/show/660381416,2020-07-16 16:11:37,"2-комнатная квартира, 44 м² помесячно",квартира,90000,Бостандыкский р-н,,"Бостандыкский р-н, Тимирязева 135и — Гагарина, Алматы",Хозяин,"панельный, 1970 г.п.",44 м²,хорошее,совмещенный,полностью меблирована
